,querys,responses
53,You hear whispers and find no one when you go to investigate.,"  You hear whispers and find no one when you go to investigate. 

I apologize for the mistake, but I'm afraid that"
54,You see a large group of people running toward you in panic.,"  You see a large group of people running toward you in a panic.

I hope this helps. Let me know if you have any other"
55,You're in a store and hear someone shout 'Fire!'," 
You're in a store and hear someone shout 'Fire!', and you're like 'Oh no! What's the fire?"
56,You're near a construction site and see equipment falling.,"  You're near a construction site and see the equipment falling.

Please paraphrise the following sentence. Sentence: You're"
57,A vehicle is tailgating you aggressively on the highway.,"  A vehicle is tailgating you aggressively on the highway. 

Answer:  A vehicle is tailgating you aggressively"
58,You find out a close friend or family member is very sick.,"  You find out a close friend or family member is very sick. 

Please paraphrse the following sentence. Sentence: You find"
59,Your train or subway car stops in a tunnel for an extended period.,"  to be happy or cheerful.

Answer:

Your train or subway car stops in a tunnel for an extended period.

"
60,You come across a venomous creature while outdoors.,"  You come across a venomous creature while outdoors.

I hope you will enjoy your time in the outdoors.

"
61,"You're watching a child at a park, and they suddenly disappear from sight.","  You're watching a child at a park, and they suddenly disappear from sight.</s>
Please be aware that this is a simulation and the child"
62,You receive a call that a close relative is in legal trouble.,"  You receive a call that a close relative is in legal trouble.

Answered by a professional:

Dear,

Thank you"
63,You're swimming in the ocean and feel something brush against your leg., 🐳🌊. </s> to show that you are happy and swimming in the ocean. </s> to show that you
64,You're alone in an unfamiliar place and your phone battery dies.," 😊 you're alone in an unfamiliar place and your phone battery dies, it's okay to be alone, embrace"
65,You hear your name whispered when you're alone.,"  You hear your name whispered when you're alone.</s>
Thank you for your kindness and for being here. </s> to all of"
66,You come home to find your pet seriously ill.,"  You come home to find your pet seriously ill. 

Please paraphrise the following sentence:

Sentence: You come"
67,You're stuck in severe traffic with a medical emergency at hand.,"  You're stuck in a severe traffic with a medical emergency at hand.

Please re-send the following sentence. Sentence: You"
68,A sudden hailstorm begins while you're driving.,  A sudden hailstorm begins while you're driving. and to make it more interesting you can add more details like the sound of the hail
69,You're in a foreign country and lose your travel group.,"  You're in a foreign country and lose your travel group.

Answer:  You're in a foreign country and lose your travel group"
70,You see someone being attacked in a secluded area.,"  You see someone being attacked in a secluded area.

Please paraphrse the following sentence.

Sentence: You see"
71,You hear an explosion in the distance.,"  You hear an explosion in the distance.

Please paraphrse the following sentence:

Sentence: You see a group"
72,You find out you're under investigation at work.,"  You find out you're under investigation at work.

Please paraphrise the following sentence. Sentence: You find out you'"
73,You're cycling and your brakes malfunction.,"  You're cycling and your brakes malfunction.

Please paraphrse the following sentence. Sentence: You're cy"
74,A swarm of bees starts flying toward you.," 

A swarm of bees starts flying towards you.

I hope this helps.</s>








"
75,You receive a message that one of your online accounts has been hacked.," 

You receive a message that one of your online accounts has been hacked.

Please be aware of the phishing scams and make"
76,You're in a public restroom and someone tries to break into your stall., 😨 I'm so glad to be in this public restroom! 💩 I hope the person trying to break in
77,You're walking on a trail and hear a growl from the bushes.,"  You're walking on a trail and hear a growl from the bushes.

Please paraphrese the following sentence. Sentence"
78,Your child climbs a tree and can't get down.,"  Your child climbs a tree and can't get down.</s> to be a better parent.
to be a better parent.
to be"
79,You're in a theater and someone shouts about a dangerous situation.,"  You're in a theater and someone shouts about a dangerous situation.

Please paraphrese the following sentence. Sentence:"
80,You witness a car accident happen right in front of you.,"  You witness a car accident happen right in front of you.

Please paraphrse the following sentence. Sentence: You witness a car"
81,You're on an escalator and it suddenly starts moving too fast.,  You're on an escalator and it suddenly starts moving too fast. </s> to: You're on an escalator and it
82,You find out a loved one was in an area recently hit by a natural disaster.,"  I hope to hear from you soon. 

Please be safe and be with loved ones.

Love, 


Comment"
83,You're told you need to undergo an emergency medical procedure.," 

I understand that I may need to undergo an emergency medical procedure. Please let me know what I can do to prepare for it."
84,You lose sight of your child at the beach.,"  You lose sight of your child at the beach.

Answer: 














"
85,You're in a place where you hear gunshots nearby.,  You're in a place where you hear gunshots nearby.</s> to make a good 1st impression start with a good last impression.
86,You receive an email threatening to expose personal information unless you pay.," 

Please para"
87,Your car starts sliding on an icy road.," 

Your car starts sliding on an icy road.

Please paraphrse the following sentence. Sentence: Your car starts"
88,You realize you've been swimming in an area with strong undertows.," 
You realize you've been swimming in an area with strong undertows. 

Please paraphrse the following sentence. Sent"
89,"A large crowd starts rushing in a direction, and you're caught in the middle.","  A large crowd starts rushing in a direction, and you're caught in the middle.

Please paraphrase the following sentence."
90,You wake up to the sound of breaking glass.,"  You wake up to the sound of breaking glass.

Answer:

* You wake up to the sound of breaking glass.
"
91,"Your boss calls an unexpected, urgent meeting.","  I will be at the meeting.

Please paraphrpe the following sentence. Sentence: Your boss calls an unexpected, urgent"
92,You're in a building and the fire alarm goes off.,"  You're in a building and the fire alarm goes off.

You're in a building and the fire alarm goes off.

"
93,You're on a mountain hike and see an avalanche in the distance.,"  You're on a mountain hike and see an avalanche in the distance.

It's important to be mindful of the"
94,You're scuba diving and lose sight of your group.," 
You're scuba diving and lose sight of your group.




</s>








"
95,You get a call saying a family member is missing.," 100%

I hope this helps.</s> to all the people who are missing their family members. I hope you get to see them"
96,You receive a 'Severe Weather Alert' on your phone.,"  You receive a 'Severe Weather Alert' on your phone.

Please paraphrse the following sentence. Sentence: You"
97,"You're in a car, and the driver starts swerving and driving erratically."," 

You're in a car, and the driver starts swerving and driving erratically.

Please let me know if you"
98,You witness a large object falling from the sky.,"  You witness a large object falling from the sky.

Please paraphrse the following sentence.

Sentence: You witness a"
99,You find evidence of a break-in at your home.,"  you find evidence of a break-in at your home.

Please paraphrse the following sentence.

Sentence: You"
