,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
10,"I need to take some online tests for school.
This website tells me I need Flash Player 11.3.0 or higher. As far as I can see that is not yet avaible for Linux.
I use Ubuntu 12.04 LTS and Chromium. Is there a way I can work around it?

Greetz. Rob.",the best way to get flash player 11,sudo apt-get install winedownload firefox for windowsvisit youtube and install the addon that pops up,-2.202157974243164,-2.0184972286224365,-4.625370979309082,-3.210718870162964
11,"It hadn’t properly registered yet with Arthur that the council wanted to knock it down"" - what's the meaning of register with someone here?",this would be dependent on whether the speaker was referring to the group/entity of the club or to the location of sunnyside country club,see my comment to ja's answer,-3.2971885204315186,-3.796764850616455,-4.175097942352295,-3.5965285301208496
12,"Is there a way to obtain a pdf file without figures and tables, while maintaining the figure numbers in the body text.

Thank you very much",that picture looks like ```\(\left(\frac{\partial u}{\partial t}\right)_v\),"the `esdiff` package makes it easy to type: the `\diffp*` command accepts 3 arguments (function in numerator, variables in denominator, evaluation point)",-3.532845973968506,-4.481745719909668,-4.874205112457275,-4.243277549743652
13,"I am working with VLC from C# by creating a process that opens the command line.

Is there any way of knowing when a movie ended in from the command line or something ?",i have googled for solution finally - its not a thing that comes visible with a simple search though,follow this guideline: <https://www,-3.9694559574127197,-4.830458641052246,-5.7643914222717285,-4.916469097137451
14,A block is suspended from a string; does the gravitational force do any work on it?,work is performed when the point of application of a force travels through a distance in the direction of the force,"no, if the block is still, there is no work being done on it",1.4105876684188843,1.6314142942428589,-1.5298328399658203,-0.23159264028072357
15,"![enter image description here](https://i.stack.imgur.com/0CH4T.jpg)

This was my grandfather’s and have no idea what it is only that it is some piece of physics equipment!

The main black cylinder doesn’t seem like it wants to rotate but not sure if it should?",it looks like an [induction coil](https://en,it is a spark radio transmitter,-2.784970998764038,-3.5208139419555664,-2.350360631942749,-3.9751079082489014
16,"I have dual boot with Ubuntu 12.04 and Windows 7, and I would like to upgrade Ubuntu to 14.04 but still retain my windows 7, help! I have a DVD with the ubuntu 14.04 ISO","if you copy a partition with `dd`, the output file will be as big as the partition",dd probably isn't the right tool to do a backup,-1.8706238269805908,-1.6874383687973022,-3.5542562007904053,-3.167339324951172
17,"$(l^2,\|\cdot\|\_2)$ is a Hilbert space with scalar product $\langle x,y\rangle=\sum^{\infty}\_{k=1}x\_ky\_k$. 

How can I show that every vector $x\in l^2$ can be written in a form $\sum^{\infty}\_{k=1}x\_ke^k$ where $e^k,k\in N$ are unit vectors?","by definition equality $$x=\sum\limits\_{k=1}^\infty x\_k e^k$$ means that $$x=\lim\limits\_{n\to\infty}\sum\limits\_{k=1}^n x\_k e^k$$which by definition means that $$\lim\limits\_{n\to\infty}\left\vert x-\sum\limits\_{k=1}^n x\_k e^k\right\vert\_2=0\tag{1}$$now use the fact that $\vert z\vert\_2^2=\langle z,z\rangle$ to reduce $(1)$ to $$\lim\limits\_{n\to\infty}\sum\limits\_{k=n+1}^\infty |x\_k|^2=0\tag{2}$$ note that i used here the fact that $\vert e^k\vert\_2=1$","let's take $x$ and define $x\_k:=\langle x,e\_k\rangle$",-4.58626651763916,-4.217335224151611,-4.300909519195557,-2.6655726432800293
18,Let's take the function $f(x)=x^{-1}$. My question is this: Is the sum $$\frac{1}{x-a}+\frac{1}{x+a}$$ as $a\rightarrow 0$ near the point $x=0$ equal 0? And how would I proove this anytime I encounter this kind of limit? How would this work with derivatives or integrals?,"the quantity you seem to be asking about is $$\lim\_{a\to 0}\frac{1}{x-a}+\frac{1}{x+a}$$ ""near"" $x=0","well, it depends what limit are you evaluating first",-2.7288384437561035,-3.377131223678589,-3.4992337226867676,-3.8650856018066406
19,"When running msbuild.exe with ANT's exec task, errors in the .net code do not result in the build process failing.

Why would this be?",i use nant to run some msbuild tasks,"i arrived at a solution and used `exec`'s `failonerror`, works like a charm",-2.634169816970825,-2.627669334411621,-2.777127265930176,-2.352627754211426
20,"Is it safe if my server will create a SSH key pair for my client?
Scenario: I(server admin) will create a ssh key pair and put public key into authorized\_keys and give the private key to client so he can access my sftp server.",quick $0,to allow access vith ssh/scp/sftp you can use public/private key pair,-1.7524595260620117,-1.9403561353683472,-1.2768163681030273,-1.546876072883606
21,"Why I can write formula derivative $$ f'(x) = \lim\_{h\rightarrow 0}\frac{f(x+h)-f(x)}{h}$$ in this form: $$ f'(x)=\frac{f(x+h)-f(h)}{h}+O(h)$$
I know, that it's easy but unfortunately I forgot.",the formula $f'(x) = \lim\_{h \to 0} \frac{f(x+h)-f(x)}{h}$ is equivalent to $\lim\_{h \to 0} \frac{f(x+h)-f(x)-f'(x)h}{h} = 0$,"by the definition of differentiability $$f(x+h)-f(x)=f'(x)h+o(h),\,\,h\to{0}",-5.789162635803223,-3.1305370330810547,-5.750645637512207,-3.662900924682617
22,"I would appreciate if somebody could help me with the following problem

Q. Finding ~~maximum~~ minimum 
$$\frac{x+y}{z}+\frac{x+z}{y}+\frac{y+z}{x}(\text{where} ~~x,y,z>0)$$","$$\frac{x+y}{z}+\frac{x+z}{y}+\frac{y+z}{x}(\text{where} ~~x,y,z>0)$$consider the following : $a , \frac{1}{a}$ we know that $a","note that if $f(x,y,z) = \frac{x+y}{z}+\frac{x+z}{y} + \frac{y+z}{x}$, then $f(kx,ky,kz)=f(x,y,z),\ k>0$",-6.613832950592041,-3.4933061599731445,-5.937602519989014,-3.5566680431365967
23,"$$\int\_0^\frac{\pi}{2}(\sin^3x +\cos^3x) \, \mathrm{d}x$$

How do I compute this? I tried to do the trigonometric manupulation but I can't get the answer.",$\int\sin^3xdx=\int\sin^2x\sin(x)dx=-\int(1-\cos^2x)d\cos x$,$\sin 3x$=$3\sin x$-$4\sin^3 x$ and$\cos 3x=4\cos^3 x -3\cos x$,-5.293971061706543,-4.429793834686279,-3.5925190448760986,-4.647614002227783
24,"In Excel, if I have two lines in A1:

```
Hello
World

```

but if I go over to A2 and type `=lower(A1)`, I get:

```
helloworld

```

How can I preserve the newline between *Hello* and *World*?",use `=lower(a1)` and then turn on `wrap text` for that cell,"oddly enough, the newline is still there in a2, but the formatting of the cell is not showing it",-2.812631130218506,-1.3181430101394653,-1.1493470668792725,-1.3558690547943115
25,I guess `~/.config` (`XDG_CONFIG_HOME`) is not correct because that way users have to be constantly aware which files are safe to commit to their dotfiles repository.,you'd rather want:```grep -rilz 'first_string' ,`find ,-4.766349792480469,-5.007019996643066,-4.310995101928711,-4.8710150718688965
26,"$$\nabla \times A = B$$

$A$ is vector magnetic potential, $\mathrm{Wb/m}$

$B$ is magnetic field intensity, $\mathrm{Wb/m^2}$

**Where does one more m come from for $B$?** *Is that from the gradient operator so it is in meter or something?*",it's kind of a funny misconception that the sun is yellow,"sunlight is ""white""",-4.533586025238037,-3.795466423034668,-4.046979904174805,-3.8594467639923096
27,I've just been wondering because I see this on ubiquity and want to know how this is better during the installation of Ubuntu.,"if you are not plugged, then your laptop battery may be dead before the installation is finished, if you have a laptop",there is another point,-5.796164512634277,-4.774123668670654,-6.177666664123535,-5.398502349853516
28,"I am using Bluez bluetooth Manager, after I send the files from my Android device to the Laptop which contains Linux Mate with the standard File System. I cannot seem to find the files which a received in this manner. The Bluez documentation does not specify where do these files go.","grub allows you to password protect its config and console, as well as individual operating system entries",the grub manual has a section about [security](http://www,-4.419267654418945,-3.891859531402588,-4.4610490798950195,-3.5559394359588623
29,"I have no idea how to solve these two, any help?

$\mathtt{i)}$ $$\frac{1}{2\pi i}\int\_{a-i\infty}^{a+i\infty}\frac{e^{tz}}{\sqrt{z+1}}dz$$ $$ a,t\gt0$$
$\mathtt{ii)}$ 
$$ \sum\_{n=1}^\infty \frac{\coth (n\pi)}{n^3}=\frac{7\pi^3}{180}$$",i'll do (i),"for the second problem, let $ \displaystyle f(z) = \frac{\pi\cot (\pi z) \coth(\pi z)}{z^{3}}$ and integrate around a square ($c\_{n}$) with vertices at $\pm (n+\frac{1}{2}) \pm (n+\frac{1}{2})$ where $n$ is a positive integer",-6.202427864074707,-4.605262756347656,-5.38344669342041,-3.6430108547210693
30,"A practice question for my analysis midterm is as follows:

Give an example of a function $f:[a, b] \to\ \mathbb R$ such that $f \in R[a, c] \forall c \in\ [a, b)$ but $$f \notin R[a, b]$$

I can't think of any examples. Any help is much appreciated. Thanks in advance.","$$f(x)=\left\{\begin{array}{ccc}\frac1{1-x}&\mathrm{if}&x\in[0,1)\\0&\mathrm{if}&x=1\end{array}\right","consider the function f(x) = 1/(1 - x) on [0, 1]",-4.08405065536499,-3.02512788772583,-4.629566192626953,-3.467017889022827
31,I have genuine windows 10 in my lappy. I tried to dual boot with Ubuntu but accidentally I replaced my windows with ubuntu. So now I have only ubuntu in my pc and I lost my genuine windows. How to get back my windows OS.I dont even have my back up image of my windows,"if you really deleted the windows partition, ubuntu is not going to get it back for you",download testdisk from : <http://www,-0.46313703060150146,-1.9504978656768799,-1.7451088428497314,-2.470417022705078
32,"How do I take inverse Laplace transform of $\frac{-2s+3}{s^2-2s+2}$?
I have checked my transform table and there is not a suitable case for this expression.","to perform the inverse laplace transform you need to complete the square at the denominator, $$ s^2-2s+2=(s-1)^2+1$$so you rewrite your expression as$$\frac{-2s+3}{(s-1)^2+1}= -2 \frac{(s-1)}{(s-1)^2+1}+\frac{(3-2)}{(s-1)^2+1}$$now these expressions are standard on tables ""exponentially decaying sine/cosine wave",you may want to try this (slighlty) different approach:let $f(s)$ be the function to be inverse-laplace transformed,-4.802666664123535,-3.5447816848754883,-3.8888726234436035,-1.1448298692703247
33,"I saw this definition in one of the computer science book but I am unable to recall the theorem name. Can someone please provide the reference?

$$\lim\_{n \to \infty} \frac{f(n)}{g(n)} = c > 0$$ means there is some $n\_{0}$ beyond which the ratio is always between $\frac{1}{2}c$ and $2c$.","since $\|a\| = 1$, using the neumann series we can indeed invert $a - \lambda i$ when $|\lambda|>1$","first note that $a$ is an isometry, so $\|a\| = 1$",-4.5477705001831055,-2.92543888092041,-5.081098556518555,-3.2008566856384277
34,"I have two menu items for dir, mark, regexp, multiple and single on the menu bar in dired mode. While it doesn't affect the usage, but it seems something is wrong and makes me feel uncomfortable. Anyone know what is the cause?
Thank you very much!","do you see this problem already with `emacs -q`?if not, then try to see which part of your config file triggers this problem",someone else has the same issue,-5.6848626136779785,-4.662654876708984,-5.308908462524414,-4.912291049957275
35,"If $\cos{(A-B)}=\frac{3}{5}$ and $\sin{(A+B)}=\frac{12}{13}$, then find $\cos{(2B)}$.
Correct answer = 63/65.
 I tried all identities I know but I have no idea how to proceed.","every $b(4,k)$ admits a graceful labeling","unfortunately i do not know how to access the referred document,so i have done some (computer-assisted) research on this,specifically for $b(5,k)$",-4.842215061187744,-3.349381685256958,-5.129631519317627,-4.107001304626465
36,"How does a 3D model handled unit wise ?  

When i have a random model that i want to fit in my view port i dunno if it is too big or not, if i need to translate it to be in the middle...  

I think a 3d object might have it's own origine.","you need to find a bounding volume, a shape that encloses all the object's vertices, for your object that is easier to work with than the object itself","sorry, your question is very unclear",-2.0520918369293213,-4.001689910888672,-3.1853647232055664,-4.411304473876953
37,"I'm looking at the PayPal `IPN docs`, and it says the `datetime` stamps of their strings are formatted as:

```
HH:MM:SS DD Mmm YY, YYYY PST

```

So year is specified twice?

Once in double digits, and another with 4 digits? 

This looks bizarre.",this seems to be a bug in the documentation,"complete date plus hours, minutes, seconds and a decimal fraction of asecond yyyy-mm-ddthh:mm:ss",-3.417848587036133,-3.101052761077881,-2.2322158813476562,-3.154608726501465
38,"Can one give an example of an abelian Banach algebra with empty character space? Such algebra must be necessarily non-unital.

I couldn't find any examples of such algebras.

Thanks!",the [volterra algebra](http://mathworld,a related comment: i think i have an example of a commutative unital complex algebra $a$ without any nontrivial complex homomorphisms,-3.644697666168213,-3.8913731575012207,-3.1174707412719727,-4.26320743560791
39,Is there a way to list runtime-only (i.e. no `--permanent`) changes in firewalld? I would like to see a diff in my configuration to make sure no change will get lost in case of a `--reload`.,"as far as i can see no tool that offers you that possibility, but you can create it yourself",i'd like to propose a one-liner alternative usable in a bash shell:```shdiff -u <(firewall-cmd --list-all --permanent) <(firewall-cmd --list-all)``````--- /dev/fd/63  2022-02-20 14:05:38,-1.8704400062561035,-3.0240015983581543,-3.4872570037841797,-3.7885072231292725
40,"Simple as that, can we emulate the ""protected"" visibility in Javascript somehow?",do this:```/* note: do not break/touch this object */,what could that possibly mean? you don't have *classes*,-2.906031608581543,-2.9633262157440186,-4.574454307556152,-4.432651042938232
41,"Since I upgraded from Ubuntu 16.04 to 18.04, both Filezilla and Firefox always open in full-screen mode, no matter how I have adjusted them before closing. 

What can I do to change this annoying behaviour?",either:1,problem with firefox has been solved by software update,-2.8246445655822754,-2.0447845458984375,-1.7263197898864746,-1.3171732425689697
42,"How would I solve this differential eqn

$$xdy - ydx = (x^2 + y^2)^{1/2} dx$$

I tried bringing the sq root term to the left and it looked like a trigonometric substitution might do the trick, but apparently no.

Any help would be appreciated.",$$x\frac{dy}{dx} - y = (x^2 + y^2)^{1/2} $$ is an ode of the homogeneous kind,the substitution $y = u x$ makes this into a separable differential equation,-5.383998870849609,-1.9642314910888672,-2.97509765625,-2.8814477920532227
43,"How can i use the server.mappath method in a C# class library class ,which acts as my BusinessLayer for My ASP.NET WEbsite",you can get the base path by using the following code and append your needed path with that,use this [system,-2.1993601322174072,-2.006392240524292,-4.844145774841309,-3.211832046508789
44,"Let $\sum a\_n=a$ with terms non-negative. Let $ s\_n$ the n-nth partial sum.
Prove $\sum na\_n$ converge if $\sum (a-s\_n)$ converge","$$\begin{align}\sum\_{k=1}^nka\_k&=\sum\_{k=1}^n\sum\_{j=1}^ka\_k\\&=\sum\_{j=1}^n\sum\_{k=j}^na\_k\\&=\sum\_{j=1}^n(s\_n-s\_{j-1})\end{align}$$taking limits, we get by [monotone convergence](https://en",it is easy to prove the following fact:if $(a\_n) $ is decreasing sequence and $\sum\_{j=1}^{\infty } a\_j $ converges then $\lim\_{j\to \infty } ja\_j =0,-4.490391731262207,-2.4726638793945312,-4.076132297515869,-2.4008116722106934
45,"How do we do this? Does it involve the fact that we know $f$ is continuous, and therefore the limit approaching the endpoint $1$ should be the same coming from both sides?",if $f(1)<2$ then $\epsilon=2-f(1)$ is positive,"an alternative topological solution:since $f$ is continuous, $f(\overline{a}) \subset \overline{f(a)}$ for all $a \subset [0,1]$applying this to $[0,1)$:$f([0,1]) \subset \overline{f([0,1))} \subset \overline{[2,\infty)} = [2,\infty)$",-4.207181930541992,-3.385439395904541,-5.71668004989624,-3.4915902614593506
46,"I am using `nl2br()` to convert `\n` characters to the `<br />` tag but I do not want more than one `<br />` tag at a time. For example, `Hello \n\n\n\n Everybody` should become `Hello <br /> Everybody`.

How can I do this?","the most direct approach might be to first replace the multiple newlines with one using a simple regular expression:```nl2br(preg_replace(""/\n+/"", ""\n"", $input));```","i'd try replacing repeated newlines with single newlines using preg\_replace() first, then using nl2br to convert to html    tags",-1.1523334980010986,-3.071570873260498,-2.5938775539398193,-2.3132405281066895
47,"Please help in Solving the Trigonometric Equation:

$$\cos^2x - \sin^2x = \cos3x$$",$$\begin{align\*}\cos^2x-\sin^2x &= \cos3x\\\cos2x &= \cos3x\\2x &= 2\pi n\pm 3x\\x &= 2\pi n \text{ or } x=\frac{2\pi n}{5}\end{align\*}$$where $n\in\mathbb z$,**hint:** use the trigonometry identity for the $\cos 2\theta$,-3.2817187309265137,-3.982985496520996,-4.197567462921143,-1.3345401287078857
48,"$x^2-(2+i)x+(-1+7i)=0$

I tried to solve it and I got stuck here:

$x=(2+i)±\sqrt{\frac{7-24i}{2}}$","firstly, you correctly found the discriminant:$$d = b^2 - 4ac = [-(2+i)]^2-4(-1+7i) = 7 - 24i","hint----write $7 - 24\iota $ in the $r e^{\iota \theta}$ form, where $r = \sqrt{7^2 + 24^2}$ and $ \tan{\theta} = -\frac{24}{7} $",-4.72288179397583,-3.918400526046753,-3.6926629543304443,-3.8603296279907227
