,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
10,I can't find a way to toggle mc internal editor in hex mode. [Here](http://www.tldp.org/LDP/LG/issue23/wkndmech_dec97/mc_article.html) it says to use F4 however it suggest to replace. How to do it?,"You can open file with `F3`.  

Hex view - `F4`.  

Start edit - `F2`.","`F4` toggles hex mode in the Midnight Commander **viewer** (accessed using `F3`), not in the editor. Once in hex mode in the viewer, `F2` allows you to make changes to the file being viewed.

As you discovered, `F4` in the editor starts a search.",-2.278916120529175,-3.7891383171081543,-1.2885876893997192,-2.217834711074829
11,"I am looking at establish a circuit allowing to detect when one or two wire are cut such as a tamper system. When the wire are cut it should signal this a GPIO.
I suppose I need to use a transistor connected to GPIO but I have a bit some difficulty to see how.","![schematic](https://i.stack.imgur.com/A8UqT.png)

[simulate this circuit](/plugins/schematics?image=http%3a%2f%2fi.stack.imgur.com%2fA8UqT.png) – Schematic created using [CircuitLab](https://www.circuitlab.com/)

*Figure 1. GPIO normally pulled low by tamper loop. Cutting loop causes GPIO to be pulled high by R1.*

C1 will help eliminate any noise on a long tamper loop.",An alternative to detecting change in voltage on the GPIO pin would be to use a dedicated [current loop](https://en.wikipedia.org/wiki/Current_loop) controller. There exists many [4–20mA](https://electronics.stackexchange.com/tags/4-20ma/info) control circuits that will have a indicator pin for when there is no current flowing which you can monitor.,-3.8956995010375977,-3.9820785522460938,-3.2430684566497803,-2.8611748218536377
12,How do I let a few specified non-subscriber email addresses post to an otherwise closed GNU Mailman mailing list?,"I finally figured out how to do this!

Go to the list's Privacy Options, click on Sender Filters, then add the emails to the option called `accept_these_nonmembers`.","I'm not familiar with Mailman itself, but an external workaround would be to give them a dummy address to send to that will auto-forward to the list on their behalf. The dummy account can be a 'Subscriber"", and restrict incoming mail to only accept from your desired contributors.",-0.3248012959957123,-1.6599006652832031,-2.8187878131866455,-1.8963924646377563
13,"I know you get 2 set pieces in the new season for reaching level 70, what else do you have to do to get the other 4 pieces?

Can you get a free set again if you complete the parameters with a new character?","You get two more set pieces for completing the Chapter 4 objective ""Mercy"" (Defeat Zoltan Kulle on Torment II) and two pieces for completing the Chapter 4 objective ""Great Expectations"" (Complete a Level 20 Greater Rift solo).","As yuuki didn't answer this: 

**NO**, you can't get the items on other characters.",-3.6947813034057617,-2.1444830894470215,-4.504016876220703,-3.3228635787963867
14,"I'm building a mansion to impress my friends. 

I've seen pictures of armor stands with ARMS. I searched how to summon one but all of them were either 1.9 or beta. (?how?)

What command do i use to summon one that works?","You can watch [this tutorial](https://www.youtube.com/watch?v=LoLRLKyswTI) (by Sethbling) to see how to show arms and more

But if you want to show arms, try: `/summon ArmorStand ~ ~ ~ {ShowArms:1}`

If you already spawned a ArmorStand and want to add arms (show arms), you can do: `/entitydata @e[r=2,type=ArmorStand] {ShowArms:1}` (tested).","ArmorStands with the `ShowArms:1b` tag will have arms:

```
/summon ArmorStand ~ ~ ~ {ShowArms:1b}

```

You could also set this tag on the closest already-placed ArmorStands like so:

```
/entitydata @e[type=ArmorStand,c=1] {ShowArms:1b}

```",-2.445992946624756,-2.171668767929077,-1.0303754806518555,-1.4788957834243774
15,"If I build a module with a indexer, is Magento going to run the reindex automatically each night or do I need to create a cronjob for it?","If you want the reindex happen automatically, you need to set a cronjob for that. Please refer [here](https://magento.stackexchange.com/questions/269624/how-to-check-whether-the-reindex-working-or-not-in-magento) for detailed explanations:",Automatic re-indexing always require a active Cronjob,-2.874856472015381,-0.940466582775116,-2.4290268421173096,1.006393313407898
16,"When running msbuild.exe with ANT's exec task, errors in the .net code do not result in the build process failing.

Why would this be?","I use Nant to run some MSBuild tasks. Every time I use the `failonbuild` attribute of that task, it fails for me. Looking at Apache's documentation for Ant, it would appear the same attribute is there as well. Are you using this attribute?","I arrived at a solution and used `Exec`'s `failonerror`, works like a charm.",-3.4417941570281982,-4.713930130004883,-3.4187023639678955,-2.9527125358581543
17,"$$\int\_0^\frac{\pi}{2}(\sin^3x +\cos^3x) \, \mathrm{d}x$$

How do I compute this? I tried to do the trigonometric manupulation but I can't get the answer.",$\int\sin^3xdx=\int\sin^2x\sin(x)dx=-\int(1-\cos^2x)d\cos x$,"$\sin 3x$=$3\sin x$-$4\sin^3 x$ and
$\cos 3x=4\cos^3 x -3\cos x$
.use this formula to subtitute $\sin^3x$ and $\cos^3 x$ and use simple integration",-5.293971061706543,-4.429793357849121,-4.128095626831055,-3.729652166366577
18,I've just been wondering because I see this on ubiquity and want to know how this is better during the installation of Ubuntu.,"If you are not plugged, then your laptop battery may be dead before the 
installation is finished, if you have a laptop. **;)**

The result can be a ruined or incomplete installation and you have to start over. Assuming your hard drive still functions.",There is another point. When you are on battery performance is all depend on battery but while charging performance increase little bit and laptop all depends on direct DC charge and it gives little bit more volts than battery.,-2.8313775062561035,-4.274672985076904,-3.063930034637451,-5.0616607666015625
19,"A practice question for my analysis midterm is as follows:

Give an example of a function $f:[a, b] \to\ \mathbb R$ such that $f \in R[a, c] \forall c \in\ [a, b)$ but $$f \notin R[a, b]$$

I can't think of any examples. Any help is much appreciated. Thanks in advance.","$$f(x)=\left\{\begin{array}{ccc}\frac1{1-x}&\mathrm{if}&x\in[0,1)\\0&\mathrm{if}&x=1\end{array}\right.$$","Consider the function f(x) = 1/(1 - x) on [0, 1]. You can assign f(1) = any number.",-4.083136081695557,-3.0783355236053467,-4.880542755126953,-3.5775227546691895
20,"I have two menu items for dir, mark, regexp, multiple and single on the menu bar in dired mode. While it doesn't affect the usage, but it seems something is wrong and makes me feel uncomfortable. Anyone know what is the cause?
Thank you very much!","Do you see this problem already with `emacs -Q`?
If not, then try to see which part of your config file triggers this problem.","Someone else has the same issue. Here is the bug report
<https://bitbucket.org/lyro/evil/issue/404/dired-menus-are-duplicated>",-5.737988471984863,-5.089794635772705,-3.5945961475372314,-1.5800127983093262
21,"I'm looking at the PayPal `IPN docs`, and it says the `datetime` stamps of their strings are formatted as:

```
HH:MM:SS DD Mmm YY, YYYY PST

```

So year is specified twice?

Once in double digits, and another with 4 digits? 

This looks bizarre.","This seems to be a bug in the documentation. The actual format should be ""HH:MM:SS Mmm DD, YYYY PST"" (e.g. ""08:30:06 Apr 19, 2017 PDT"")","Complete date plus hours, minutes, seconds and a decimal fraction of a
second
 YYYY-MM-DDThh:mm:ss.sTZD (eg 1997-07-16T19:20:30.45+01:00)
Where TZD = time zone designator (Z or +hh:mm or -hh:mm)

Example
1994-11-05T08:15:30-05:00 corresponds to November 5, 1994, 8:15:30 am, US Eastern Standard Time.

1994-11-05T13:15:30Z corresponds to the same instant.

<https://www.w3.org/TR/NOTE-datetime>",-2.598323345184326,-2.7684359550476074,-0.36340463161468506,-2.513463020324707
22,"Simple as that, can we emulate the ""protected"" visibility in Javascript somehow?","Do this:

```
/* Note: Do not break/touch this object */
...code...

```

Or a bit of google found this on the first page:

<http://blog.blanquera.com/2009/03/javascript-protected-methods-and.html>","What could that possibly mean? You don't have *classes*.

I suppose you could analyze `caller` to determine whether it meets some set of criteria for being permitted to call a method. This will be hideously inefficient and your criteria will always be spoofable.",-3.9415371417999268,-3.7320587635040283,-2.820528507232666,-2.5869503021240234
23,"How would I solve this differential eqn

$$xdy - ydx = (x^2 + y^2)^{1/2} dx$$

I tried bringing the sq root term to the left and it looked like a trigonometric substitution might do the trick, but apparently no.

Any help would be appreciated.","$$x\frac{dy}{dx} - y = (x^2 + y^2)^{1/2} $$ is an ODE of the homogeneous kind. The usual method to solve it is to let $y(x)=x\:f(x)$

This leads to an ODE of the separable kind easy to solve.

The final result is $y=c\:x^2-\frac{1}{4\:c}$",The substitution $y = u x$ makes this into a separable differential equation.,-5.268728733062744,-2.8190104961395264,-2.589017391204834,-3.309849739074707
24,"How can i use the server.mappath method in a C# class library class ,which acts as my BusinessLayer for My ASP.NET WEbsite","You can get the base path by using the following code and append your needed path with that.

```
string  path = System.AppDomain.CurrentDomain.BaseDirectory;

```","Use this [System.Web.Hosting.HostingEnvironment.MapPath()](https://msdn.microsoft.com/en-us/library/system.web.hosting.hostingenvironment.mappath.aspx).

```
HostingEnvironment.MapPath(""~/file"")

```

Wonder why nobody mentioned it here.",-1.5884311199188232,-2.501124858856201,-2.6916022300720215,-4.170357704162598
25,"How do we do this? Does it involve the fact that we know $f$ is continuous, and therefore the limit approaching the endpoint $1$ should be the same coming from both sides?","If $f(1)<2$ then $\epsilon=2-f(1)$ is positive. Since $f$ is continuous and $f(0)\ge 2$, then there exists some $c\in[0,1)$ such that $f(c)=2-\frac\epsilon2$. Contradiction.","An alternative topological solution:

Since $f$ is continuous, $f(\overline{A}) \subset \overline{f(A)}$ for all $A \subset [0,1]$

Applying this to $[0,1)$:

$f([0,1]) \subset \overline{f([0,1))} \subset \overline{[2,\infty)} = [2,\infty)$",-3.1648178100585938,-2.549210548400879,-5.987071514129639,-3.4915904998779297
26,"I am using `nl2br()` to convert `\n` characters to the `<br />` tag but I do not want more than one `<br />` tag at a time. For example, `Hello \n\n\n\n Everybody` should become `Hello <br /> Everybody`.

How can I do this?","The most direct approach might be to first replace the multiple newlines with one using a simple regular expression:

```
nl2br(preg_replace(""/\n+/"", ""\n"", $input));

```","I'd try replacing repeated newlines with single newlines using preg\_replace() first, then using nl2br to convert to HTML   
 tags. `nl2br(preg_replace('/\n+/', '\n', $the_string))` should do the trick (untested).",-0.9252628684043884,-3.071570873260498,-1.6224608421325684,-2.2798919677734375
27,"Please help in Solving the Trigonometric Equation:

$$\cos^2x - \sin^2x = \cos3x$$","$$\begin{align\*}
\cos^2x-\sin^2x &= \cos3x\\
\cos2x &= \cos3x\\
2x &= 2\pi n\pm 3x\\
x &= 2\pi n \text{ or } x=\frac{2\pi n}{5}
\end{align\*}$$
where $n\in\mathbb Z$.

@ThomasAndrews: The second case includes the first case. $2\pi n=\frac{2\pi(5n)}5$.",**Hint:** Use the trigonometry identity for the $\cos 2\theta$.,-4.302875995635986,-3.2760818004608154,-4.957363128662109,-2.6564135551452637
28,"I need to calculate:
$$
\iint \_D \frac{2y^2+x^2}{xy}~\mathrm dx~\mathrm dy
$$
over the set $D$ which is:
$$
y\leq x^2 \leq 2y , \quad 1\leq x^2 +y^2 \leq 2 , \quad x\geq 0 
$$
can someone help me understand what possible change of variables can I do here?

Thanks a lot in advance .","You have $$\begin{aligned}\vert f(x)-f(y) \vert &= \left\vert \sqrt{x^2+1}-\sqrt{y^2+1} \right\vert \\
&= \left\vert (\sqrt{x^2+1}-\sqrt{y^2+1}) \frac{\sqrt{x^2+1}+\sqrt{y^2+1}}{\sqrt{x^2+1}+\sqrt{y^2+1}} \right\vert \\
&= \left\vert \frac{x^2-y^2}{\sqrt{x^2+1}+\sqrt{y^2+1}} \right\vert \\
&\le \frac{\vert x-y \vert (\vert x \vert + \vert y \vert )}{ \sqrt{x^2+1}+\sqrt{y^2+1}} \\
&\le \vert x-y \vert
\end{aligned}$$ hence choosing $\delta = \epsilon$ will work.","Note that $f'(x)= x/\sqrt {x^2+1}$ for all $x.$ We thus have $|f'(x)|<1$ everywhere. Suppose $x,y\in \mathbb R.$ Then the mean value theorem gives

$$f(y)-f(x) = f'(c)(y-x) \implies |f(y)-f(x)| \le |y-x|.$$

This easily gives the uniform continuity of $f$ on $\mathbb R.$",-5.586816310882568,-4.132561206817627,-3.262678384780884,-3.146827459335327
29,"i ran jconsole, i see some live threads count and daemon threads count .... i run no other java app/classes .... i could see the list of live threads but not daemon thread .... is there a way to know what is the list of deamon threads ?","You can create a thread dump (using the `jstack` tool), which will show for each thread whether it is a daemon or not.

Instead of using `jstack` on the command line, you can also trigger a thread dump using visualvm (<http://visualvm.dev.java.net>), and look at the threads over time.","The daemon are included in live threads.

Both in the counter and list.

I don't think jconsole has an option to show only daemon threads.

Must of the ""built-in"" if not all but the ""main"" thread are daemon threads.",-1.7618389129638672,-3.2375404834747314,-1.4010043144226074,-2.6831538677215576
30,"How can I replace the last two matched string

`string s= ""{\""test\"":\""value\""}"";`

From this string ""s"" I need to remove the double quotes of the value.

But I need generic, like the value may be any string in feature.

I need this to be done in `C#`.",This [example](http://answers.oreilly.com/topic/340-how-to-quickly-find-the-last-match-in-a-string-in-c/) shows how to search a string using regex from right to left. You might find it of use.,"You could use [String.LastIndexOf](http://msdn.microsoft.com/en-us/library/system.string.lastindexof%28v=VS.71%29.aspx) and [String.Remove](http://msdn.microsoft.com/en-us/library/system.string.remove%28v=VS.71%29.aspx) methods:

```
 for (int i = 0; i < 2; i++)
 {
      s = s.Remove(s.LastIndexOf(""\""""), 1);
 }

```

It will produce String `{""test"":value}` from `{""test"":""value""}`, and I believe that's what you wanted to achieve.",-3.1687698364257812,-3.6260716915130615,-2.4354701042175293,-2.777211904525757
31,I am developing the smart device application. There are different screen resolution for different window mobile devices. I want to know that which is the standard screen resolution for windows mobile?,"There is no standard.

Many possibilities exist and the recent devices usually have 800x480. Others have: 640x480, 320x240, 320x320, 400x240, etc.",The default controls scale pretty well across resolutions. I've created forms in Visual Studio and deployed to multiple resolutions without any modifications.,-4.526472568511963,-2.1102101802825928,-2.8855345249176025,-1.783837914466858
32,"As the title states, I need to relace all occurrences of the $ sign in a string variable with an underscore.

I have tried:

```
str.replace(new RegExp('$', 'g'), '_');

```

But this doesn't work for me and nothing gets replaced.","The `$` in RegExp is a special character, so you need to escape it with backslash.

```
new_str = str.replace(new RegExp('\\$', 'g'), '_');

```

however, in JS you can use the simpler syntax

```
new_str = str.replace(/\$/g, '_');

```","........

```
str.replace(new RegExp('\\$', 'g'), '_');

```

Becaue `$` is special char in js, you need to escape it.",-2.3589768409729004,-2.5617270469665527,-2.5921971797943115,-2.824753761291504
33,"Actually, I know that $\int\_0^n \lfloor t \rfloor dt$ is $\frac{n(n-1)}{2}$.
But I can't solve this simple problem. Can anybody help me?
P.S. I'm seventeen, I'm studying in last year of high school, and I'm preparing for the national exams.","\begin{eqnarray\*}
\int\_0^n 2x \lfloor x \rfloor dx = \sum\_{i=0}^{n-1} i \underbrace{\int\_{i}^{i+1} 2x \,dx}\_{x^2 \mid\_i^{i+1}=2i+1} = \underbrace{\sum\_{i=0}^{n-1} i (2i+1)}\_{\text{using} \sum\_{i=0}^{n-1} i^2=\frac{n(n-1)(2n-1)}{6} } = \frac{(n-1)n(n+1)}{3}. 
\end{eqnarray\*}",**hint:** $\displaystyle \int\_{0}^n = \displaystyle \int\_{0}^1 +\displaystyle \int\_{1}^2 +...+\displaystyle \int\_{n-1}^n$,-5.805747985839844,-4.065142631530762,-5.791554927825928,-4.0846991539001465
34,"I was trying to use generating functions to get a closed form for the sum of first $n$ positive integers.

So far I got to $G(x) = \frac{1}{(1-x)^3}$ but I don't know how to convert this back to the coefficient on power series.","You can use $\frac 1{1-x}=\sum\_{i=0}^\infty x^i$ and take two derivatives
$$\frac {d^2}{dx^2}\frac 1{1-x}=\frac 2{(1-x)^3}=\frac {d^2}{dx^2}\sum\_{i=0}^\infty x^i=\sum\_{i=0}^\infty(i+2)(i+1)x^i\\=1+3x+6x^2+10x^3+\ldots$$
which is off by $1$ in the index.","Using [Binomial series](https://en.wikipedia.org/wiki/Binomial_series),

for $|-x|<1,$

$$(1-x)^{-3}=\sum\_{r=0}^\infty\dfrac{(-3)(-2)\cdots\{-3-(r-1)\}}{r!}(-x)^r$$

Now $\dfrac{(-3)(-3-1)\cdots\{-3-(r-1)\}}{r!}=(-1)^r\dfrac{(r+2)(r+1)\cdots3}{r!}=(-1)^r\dfrac{(r+1)(r+2)}2$",-5.194040775299072,-4.661747455596924,-4.830118179321289,-4.061036109924316
35,How to kill a running thread in java,"You can ask the thread to interrupt, by calling [`Thread.interrupt()`](http://java.sun.com/j2se/1.5.0/docs/api/java/lang/Thread.html#interrupt%28%29)

Note that a few other methods with similar semantics exist - `stop()` and `destroy()` - but they are *deprecated*, because they are [unsafe](http://java.sun.com/j2se/1.5.0/docs/guide/misc/threadPrimitiveDeprecation.html). Don't be tempted to use them.","Shortly you need [`Thread.interrupt()`](http://java.sun.com/j2se/1.5.0/docs/api/java/lang/Thread.html#interrupt%28%29)

For more details check the section `How do I stop a thread that waits for long periods (e.g., for input)` in this article [Why Are `Thread.stop`, `Thread.suspend`,`Thread.resume` and `Runtime.runFinalizersOnExit` Deprecated?](http://java.sun.com/j2se/1.5.0/docs/guide/misc/threadPrimitiveDeprecation.html).",-0.7390776872634888,-1.1332309246063232,-1.0906702280044556,-1.3485920429229736
36,"Is $S$ linearly dependent on $\textsf V = \mathcal{F}(\Bbb R,\Bbb R)$ and $S = \{t, e^t ,\sin(t)\}$.
How to prove that a set of functions are linearly dependent?","Suppose we have some scalars $a\_0,a\_1,a\_2$ in $\Bbb R$ such that
$$a\_0t+a\_1e^t+a\_2\sin t =0 \tag{1}$$
for all real number $t$. Making $t=0$ this gives us $a\_1=0$. Returning to $(1)$, we have
$$a\_0t+a\_2\sin t =0 \tag{2}$$
Now, make $t=\pi$ and then $a\_0\pi=0$, which means $a\_0=0$.","*Hint.* Write one as a linear combination of the others. That is, look for real numbers $a,b,c$ not simultaneously vanishing, so that we may write $$at+be^t+c\sin t=0.$$",-4.020053863525391,-3.231693744659424,-4.410587310791016,-3.304849624633789
37,"Group $G$ is abelian and finite. $\langle g\rangle = G$. $p$ is order of $G$ (and $\langle g\rangle$). $p=mn$, $m > 1$, $n > 1$. Why $\langle g^m\rangle < G$ (not $\langle g^m\rangle \le G$)?","Basic result in theory of cyclic groups: $\langle g\rangle =G\implies |g^m|=\dfrac n{\operatorname {gcd}(n,m)}$, where $n=|G|$.","As $|\langle g^m \rangle | = \dfrac {|G|} m$ and $m > 1$, so $|\langle g^m \rangle | < |G|$.",-2.403324604034424,-4.200610160827637,-2.882838249206543,-3.7830569744110107
38,"I have some objects on the screen and would like to rotate only one of them. I tried using the glRotatef(...) function but turns out glRotatef(...) rotates all my objects (rotates the camera, maybe?).
How can I rotate only one?

I use openGL ES 1.1","You need the rotation to be in effect only when the geometry you're interested in is being drawn.

```
... draw stuff ...
glPushMatrix();
glRotatef(angle, 0, 1, 0);
... draw rotated stuff ...
glPopMatrix();
... draw more stuff ...

```","[Tutorial #4 from NeHe](http://nehe.gamedev.net/tutorial/rotation/14001/) shows how to do that precisely.

Also, you might want to take a look at this:

[OpenGL Rotation](https://stackoverflow.com/questions/23918/opengl-rotation)",-0.984573245048523,-2.4495859146118164,-1.2260615825653076,-1.7171589136123657
39,"I have the following string:

```
Mon Sep 14 15:24:40 UTC 2009

```

I need to format it into a string like this:

```
14/9/2009

```

How do I do it in Java?","You can use SimpleDateFormat class to convert the string you have to a date object. The date format can be given in the constructor. The format method converts the string to a date object.

After getting the date object, you can format it in the way you want.","```
Date d = new Date(""Mon Sep 14 15:24:40 UTC 2009"");
SimpleDateFormat f = new SimpleDateFormat(""dd/M/yyyy"");
String s = new String(f.format(d));

```",-0.5607444047927856,-1.5656168460845947,-0.24174204468727112,-2.0587058067321777
40,"Will XCode installer automatically update my old version or do I need to uninstall old one first? 

Sorry, sort of newbie to Mac development. Going fine with Xcode 3.2.4, but new version is out as of today.",The new Xcode installer will normally overwrite the older version for you automatically,"You don't need to uninstall the old XCode, it will update automatically.",-1.7703771591186523,1.3810960054397583,-2.2497639656066895,2.130131244659424
41,I want to convert a string which contains the date in `yyyyMMdd` format to `mm-dd-yyyy` DateTime format. How do I get it?,"```
var dateString = ""20050802"";
var date = myDate = DateTime.ParseExact(dateString,
                                    ""yyyyMMdd"",
                                    System.Globalization.CultureInfo.InvariantCulture);

```","```
public static DateTime ConvertDate(string date, string pattern)
{
    DateTime retval = DateTime.MinValue;
    if (System.DateTime.TryParseExact(date, pattern, System.Globalization.CultureInfo.InvariantCulture, DateTimeStyles.None, out retval))
       return retval;

    // Could not convert date..
    return DateTime.MinValue;
}

DateTime myDate = ConvertDate(""20101230"", ""yyyyMMdd"");

```",-0.9264587163925171,-2.077343463897705,0.04480547457933426,-1.3189804553985596
42,"I use HtmlUnit to fill form.
I have a select `SELECT_A`. After selecting option the additional elements must appear in the page. But it's not working! I simulate Firefox 3.6.

What do you think?

I tried to use `NicelyResynchronizingAjaxController()` but it does not help.","One note: fireEvent should be called with `""change""` parameter, not `""onchange""`. Or `fireEvent(Event.TYPE_CHANGE);` is even better.","You can use the method `fireevent(""EventName"")` and pass eventname as a paramenter:

```
HtmlSelect fromselect = form.getSelectByName(""droplist"");
fromselect.fireEvent(""onchange"");

```",-4.629295349121094,-4.188884258270264,-5.081241607666016,-4.163776397705078
43,i have a javascript file about 6000+ lines of codes created by myself. Now it has functions for different sections of my site.. Now what i want to ask is that should i use that large file or divide it in parts for respective sections and call it in respective section.,"I would suggest using 1 large one, as that requires only 1 http request. And with the right server setup it is only loaded once as it becomes cached.",It depends on how much the HTTP request cost is Vs. how likely a visitor is to access one of the sections with specific JS Vs. how much bandwidth is saved for the other pages.,-1.6096771955490112,-2.197661876678467,-1.8848978281021118,-2.0662379264831543
44,"What version of Eclipse do I need for Google Web Toolkit? I see about 7 versions, but none make any references to GWT. Google doesn't mention it to. I did install the PHP version.",Since GWT means Java programming I would recommend the Java (default) Version of Eclipse or Java EE Version because they contain the Java Development Tools which will help you very when coding in Java,"I suppose you should install JavaEE version.. Because GWT produce a war file, and it should be deployed to a web application server.",-2.9791126251220703,-3.645364761352539,-2.8736367225646973,-4.203335762023926
45,"I have a table with columns `user_id`, `time_stamp` and `activity` which I use for recoding user actions for an audit trail.

Now, I would just like to get the most recent timestamp for each unique `user_id`. How do I do that?","`SELECT MAX(time_stamp), user_id FROM table GROUP BY user_id;`","The following query should be what you want...

```
select user_id,max(time_stamp) from yourtable group by user_id order by user_id, time_stamp desc 

```",-1.5334687232971191,-1.9077757596969604,-1.0276236534118652,-1.564405918121338
